Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,37,68411,6117154,San Diego,Sweetwater Union High,Sweetwater Community Day,High School District,District Community Day Schools,Community Day School,None,N,,,N,7,9,29,23,79.30%,26,89.70%,29,23,79.30%,26,89.70%,Y
2015-2016,37,68411,6120968,San Diego,Sweetwater Union High,Eastlake Middle,High School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,1679,269,16.00%,371,22.10%,1679,269,16.00%,371,22.10%,Y
2015-2016,37,68437,128470,San Diego,Vallecitos Elementary,Taylion San Diego Academy,Elementary School District,Elementary Schools (Public),Traditional,None,Y,1559,Directly funded,Y,K,12,75,31,41.30%,48,64.00%,67,27,40.30%,41,61.20%,Y
2015-2016,37,68437,6040562,San Diego,Vallecitos Elementary,Vallecitos Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,190,151,79.50%,166,87.40%,187,148,79.10%,163,87.20%,Y
2015-2016,37,68452,1,San Diego,Vista Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,29,9,31.00%,9,31.00%,24,9,37.50%,9,37.50%,Y
2015-2016,37,68452,100925,San Diego,Vista Unified,Temple Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,663,292,44.00%,421,63.50%,642,284,44.20%,408,63.60%,Y
2015-2016,37,68452,100933,San Diego,Vista Unified,Hannalei Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,647,437,67.50%,514,79.40%,647,437,67.50%,514,79.40%,Y
2015-2016,37,68452,105882,San Diego,Vista Unified,Foothill Oak Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,706,604,85.60%,657,93.10%,692,592,85.50%,645,93.20%,Y
2015-2016,37,68452,106120,San Diego,Vista Unified,SIATech,Unified School District,High Schools (Public),Traditional,None,Y,627,Directly funded,Y,11,12,1122,1043,93.00%,1056,94.10%,227,209,92.10%,214,94.30%,Y
2015-2016,37,68452,111237,San Diego,Vista Unified,Maryland Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,628,546,86.90%,586,93.30%,614,534,87.00%,573,93.30%,Y
2015-2016,37,68452,114264,San Diego,Vista Unified,North County Trade Tech High,Unified School District,High Schools (Public),Traditional,None,Y,884,Directly funded,Y,9,12,161,58,36.00%,71,44.10%,151,53,35.10%,65,43.00%,Y
2015-2016,37,68452,114637,San Diego,Vista Unified,"Vista Magnet Middle School of Technology, Science, and Math",Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,837,391,46.70%,468,55.90%,837,391,46.70%,468,55.90%,Y
2015-2016,37,68452,115451,San Diego,Vista Unified,Major General Raymond Murray High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,10,12,225,144,64.00%,159,70.70%,160,104,65.00%,112,70.00%,Y
2015-2016,37,68452,118430,San Diego,Vista Unified,Mission Vista High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,1566,261,16.70%,371,23.70%,1535,253,16.50%,363,23.60%,Y
2015-2016,37,68452,124917,San Diego,Vista Unified,Guajome Learning Center,Unified School District,K-12 Schools (Public),Traditional,None,Y,1351,Directly funded,Y,K,12,68,18,26.50%,18,26.50%,66,18,27.30%,18,27.30%,Y
2015-2016,37,68452,126300,San Diego,Vista Unified,Vista Visions Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,83,29,34.90%,34,41.00%,82,28,34.10%,33,40.20%,Y
2015-2016,37,68452,128223,San Diego,Vista Unified,Bella Mente Montessori Academy,Unified School District,Elementary Schools (Public),Traditional,None,Y,1515,Directly funded,Y,K,8,610,84,13.80%,117,19.20%,586,80,13.70%,111,18.90%,Y
2015-2016,37,68452,3730207,San Diego,Vista Unified,Vista Adult Transition Center,Unified School District,Special Education Schools (Public),Special Education School,None,N,,,N,Adult,Adult,97,32,33.00%,42,43.30%,12,2,16.70%,6,50.00%,Y
2015-2016,37,68452,3730728,San Diego,Vista Unified,Rancho Buena Vista High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2417,932,38.60%,1151,47.60%,2359,907,38.40%,1123,47.60%,Y
2015-2016,37,68452,3730942,San Diego,Vista Unified,Guajome Park Academy Charter,Unified School District,High Schools (Public),Traditional,None,Y,50,Directly funded,Y,K,12,1342,553,41.20%,657,49.00%,1334,552,41.40%,656,49.20%,Y
2015-2016,37,68452,3732039,San Diego,Vista Unified,Alta Vista High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,179,121,67.60%,135,75.40%,128,90,70.30%,98,76.60%,Y
2015-2016,37,68452,3738705,San Diego,Vista Unified,Vista High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2524,1316,52.10%,1574,62.40%,2450,1277,52.10%,1528,62.40%,Y
2015-2016,37,68452,6040588,San Diego,Vista Unified,Beaumont Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,518,377,72.80%,431,83.20%,504,368,73.00%,419,83.10%,Y
2015-2016,37,68452,6040596,San Diego,Vista Unified,Bobier Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,728,609,83.70%,686,94.20%,713,597,83.70%,671,94.10%,Y
2015-2016,37,68452,6040604,San Diego,Vista Unified,California Avenue Elementary,Unified School District,Special Education Schools (Public),Special Education School,None,N,,,N,K,8,20,8,40.00%,11,55.00%,20,8,40.00%,11,55.00%,Y
2015-2016,37,68452,6040620,San Diego,Vista Unified,Grapevine Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,657,505,76.90%,564,85.80%,640,497,77.70%,554,86.60%,Y
2015-2016,37,68452,6040638,San Diego,Vista Unified,Monte Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,548,292,53.30%,352,64.20%,530,284,53.60%,342,64.50%,Y
2015-2016,37,68452,6040646,San Diego,Vista Unified,Olive Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,400,309,77.30%,346,86.50%,400,309,77.30%,346,86.50%,Y
2015-2016,37,68452,6040653,San Diego,Vista Unified,Vista Academy of Visual and Performing Arts,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,604,438,72.50%,503,83.30%,604,438,72.50%,503,83.30%,Y
2015-2016,37,68452,6059802,San Diego,Vista Unified,Rancho Minerva Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,835,668,80.00%,741,88.70%,835,668,80.00%,741,88.70%,Y
2015-2016,37,68452,6059810,San Diego,Vista Unified,Vista Innovation and Design Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,691,341,49.30%,434,62.80%,691,341,49.30%,434,62.80%,Y
2015-2016,37,68452,6069124,San Diego,Vista Unified,Casita Center for Science/Math/Technology,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,587,263,44.80%,320,54.50%,587,263,44.80%,320,54.50%,Y
2015-2016,37,68452,6107031,San Diego,Vista Unified,Alamosa Park Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,510,135,26.50%,174,34.10%,510,135,26.50%,174,34.10%,Y
2015-2016,37,68452,6107577,San Diego,Vista Unified,Roosevelt Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1042,437,41.90%,558,53.60%,1042,437,41.90%,558,53.60%,Y
2015-2016,37,68452,6107585,San Diego,Vista Unified,Lake Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,859,180,21.00%,236,27.50%,859,180,21.00%,236,27.50%,Y
2015-2016,37,68452,6108708,San Diego,Vista Unified,Empresa Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,806,174,21.60%,250,31.00%,790,172,21.80%,245,31.00%,Y
2015-2016,37,68452,6110399,San Diego,Vista Unified,Breeze Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,786,354,45.00%,445,56.60%,771,350,45.40%,439,56.90%,Y
2015-2016,37,68452,6110407,San Diego,Vista Unified,Mission Meadows Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,588,230,39.10%,293,49.80%,576,224,38.90%,287,49.80%,Y
2015-2016,37,68452,6112221,San Diego,Vista Unified,Madison Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1161,492,42.40%,629,54.20%,1161,492,42.40%,629,54.20%,Y
2015-2016,37,73551,1,San Diego,Carlsbad Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,18,0,0.00%,0,0.00%,15,0,0.00%,0,0.00%,Y
2015-2016,37,73551,107557,San Diego,Carlsbad Unified,Calavera Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,499,128,25.70%,153,30.70%,499,128,25.70%,153,30.70%,Y
2015-2016,37,73551,113498,San Diego,Carlsbad Unified,Poinsettia Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,540,104,19.30%,121,22.40%,520,104,20.00%,121,23.30%,Y
2015-2016,37,73551,127423,San Diego,Carlsbad Unified,Sage Creek High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1000,118,11.80%,145,14.50%,1000,118,11.80%,145,14.50%,Y
2015-2016,37,73551,3730017,San Diego,Carlsbad Unified,Carlsbad Village Academy,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,10,12,87,40,46.00%,43,49.40%,82,37,45.10%,40,48.80%,Y
2015-2016,37,73551,3730694,San Diego,Carlsbad Unified,Carlsbad High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2459,331,13.50%,439,17.90%,2327,311,13.40%,411,17.70%,Y
2015-2016,37,73551,3731163,San Diego,Carlsbad Unified,Carlsbad Seaside Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,40,3,7.50%,3,7.50%,35,3,8.60%,3,8.60%,Y
2015-2016,37,73551,6037774,San Diego,Carlsbad Unified,Buena Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,282,66,23.40%,92,32.60%,266,65,24.40%,89,33.50%,Y
2015-2016,37,73551,6037782,San Diego,Carlsbad Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,487,202,41.50%,248,50.90%,473,201,42.50%,247,52.20%,Y
2015-2016,37,73551,6037790,San Diego,Carlsbad Unified,Magnolia Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,493,62,12.60%,77,15.60%,493,62,12.60%,77,15.60%,Y
2015-2016,37,73551,6037816,San Diego,Carlsbad Unified,Valley Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1009,172,17.00%,246,24.40%,1009,172,17.00%,246,24.40%,Y
2015-2016,37,73551,6099352,San Diego,Carlsbad Unified,Kelly Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,403,19,4.70%,29,7.20%,390,19,4.90%,29,7.40%,Y
2015-2016,37,73551,6106512,San Diego,Carlsbad Unified,Hope Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,646,59,9.10%,79,12.20%,646,59,9.10%,79,12.20%,Y
2015-2016,37,73551,6109201,San Diego,Carlsbad Unified,Aviara Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,700,83,11.90%,114,16.30%,700,83,11.90%,114,16.30%,Y
2015-2016,37,73551,6116578,San Diego,Carlsbad Unified,Pacific Rim Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,799,27,3.40%,41,5.10%,799,27,3.40%,41,5.10%,Y
2015-2016,37,73551,6118137,San Diego,Carlsbad Unified,Aviara Oaks Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1132,125,11.00%,160,14.10%,1132,125,11.00%,160,14.10%,Y
2015-2016,37,73551,6120711,San Diego,Carlsbad Unified,Calavera Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,483,154,31.90%,192,39.80%,483,154,31.90%,192,39.80%,Y
2015-2016,37,73569,1,San Diego,Oceanside Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,16,0,0.00%,0,0.00%,13,0,0.00%,0,0.00%,Y
2015-2016,37,73569,101071,San Diego,Oceanside Unified,Coastal Academy,Unified School District,Elementary Schools (Public),Traditional,None,Y,516,Directly funded,Y,K,8,1615,160,9.90%,310,19.20%,1604,158,9.90%,306,19.10%,Y
2015-2016,37,73569,113514,San Diego,Oceanside Unified,Louise Foussat Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,733,438,59.80%,534,72.90%,718,430,59.90%,526,73.30%,Y
2015-2016,37,73569,113522,San Diego,Oceanside Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,768,468,60.90%,584,76.00%,768,468,60.90%,584,76.00%,Y
2015-2016,37,73569,3731221,San Diego,Oceanside Unified,Pacific View Charter,Unified School District,K-12 Schools (Public),Traditional,None,Y,247,Directly funded,Y,K,12,410,190,46.30%,238,58.00%,368,175,47.60%,215,58.40%,Y
2015-2016,37,73569,3735206,San Diego,Oceanside Unified,Oceanside High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2160,1070,49.50%,1370,63.40%,2092,1044,49.90%,1334,63.80%,Y
2015-2016,37,73569,3739018,San Diego,Oceanside Unified,El Camino High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,3053,1088,35.60%,1441,47.20%,2948,1052,35.70%,1392,47.20%,Y
2015-2016,37,73569,3739026,San Diego,Oceanside Unified,Ocean Shores High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,138,92,66.70%,107,77.50%,128,85,66.40%,98,76.60%,Y
2015-2016,37,73569,6038830,San Diego,Oceanside Unified,Jefferson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,650,492,75.70%,570,87.70%,650,492,75.70%,570,87.70%,Y
2015-2016,37,73569,6038848,San Diego,Oceanside Unified,Laurel Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,483,410,84.90%,457,94.60%,474,403,85.00%,450,94.90%,Y
2015-2016,37,73569,6038855,San Diego,Oceanside Unified,Libby Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,570,440,77.20%,513,90.00%,561,433,77.20%,506,90.20%,Y
2015-2016,37,73569,6038863,San Diego,Oceanside Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,878,490,55.80%,615,70.00%,878,490,55.80%,615,70.00%,Y
2015-2016,37,73569,6038871,San Diego,Oceanside Unified,Mission Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,574,470,81.90%,515,89.70%,565,466,82.50%,510,90.30%,Y
2015-2016,37,73569,6038889,San Diego,Oceanside Unified,North Terrace Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,774,180,23.30%,381,49.20%,774,180,23.30%,381,49.20%,Y
2015-2016,37,73569,6038897,San Diego,Oceanside Unified,Palmquist Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,681,263,38.60%,342,50.20%,662,257,38.80%,335,50.60%,Y
2015-2016,37,73569,6038905,San Diego,Oceanside Unified,San Luis Rey Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,377,269,71.40%,319,84.60%,370,263,71.10%,313,84.60%,Y
2015-2016,37,73569,6038913,San Diego,Oceanside Unified,Santa Margarita Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,670,107,16.00%,290,43.30%,670,107,16.00%,290,43.30%,Y
2015-2016,37,73569,6038921,San Diego,Oceanside Unified,South Oceanside Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,714,357,50.00%,424,59.40%,714,357,50.00%,424,59.40%,Y
2015-2016,37,73569,6069108,San Diego,Oceanside Unified,E. G. Garrison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,405,267,65.90%,336,83.00%,399,266,66.70%,332,83.20%,Y
2015-2016,37,73569,6088991,San Diego,Oceanside Unified,Del Rio Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,457,309,67.60%,385,84.20%,457,309,67.60%,385,84.20%,Y
2015-2016,37,73569,6106546,San Diego,Oceanside Unified,Reynolds Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,630,353,56.00%,466,74.00%,620,349,56.30%,459,74.00%,Y
2015-2016,37,73569,6108211,San Diego,Oceanside Unified,Christa McAuliffe Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,664,227,34.20%,315,47.40%,649,223,34.40%,309,47.60%,Y
2015-2016,37,73569,6109995,San Diego,Oceanside Unified,Ivey Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,801,198,24.70%,254,31.70%,801,198,24.70%,254,31.70%,Y
2015-2016,37,73569,6111777,San Diego,Oceanside Unified,Martin Luther King Jr. Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1483,530,35.70%,723,48.80%,1483,530,35.70%,723,48.80%,Y
2015-2016,37,73569,6115299,San Diego,Oceanside Unified,Stuart Mesa Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,616,154,25.00%,333,54.10%,592,150,25.30%,322,54.40%,Y
2015-2016,37,73569,6119713,San Diego,Oceanside Unified,Nichols Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,704,300,42.60%,400,56.80%,691,294,42.50%,394,57.00%,Y
2015-2016,37,73791,1,San Diego,San Marcos Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,35,1,2.90%,1,2.90%,33,1,3.00%,1,3.00%,Y
2015-2016,37,73791,105684,San Diego,San Marcos Unified,San Elijo Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1981,242,12.20%,294,14.80%,1980,242,12.20%,294,14.80%,Y
2015-2016,37,73791,105726,San Diego,San Marcos Unified,Mission Hills High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2531,843,33.30%,1030,40.70%,2490,830,33.30%,1013,40.70%,Y
2015-2016,37,73791,109785,San Diego,San Marcos Unified,Bayshore Preparatory Charter,Unified School District,K-12 Schools (Public),Traditional,None,Y,723,Directly funded,Y,K,12,112,29,25.90%,56,50.00%,111,29,26.10%,56,50.50%,Y
2015-2016,37,73791,111468,San Diego,San Marcos Unified,San Elijo Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,1480,148,10.00%,163,11.00%,1461,147,10.10%,162,11.10%,Y
2015-2016,37,73791,116467,San Diego,San Marcos Unified,Joli Ann Leichtag Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,781,503,64.40%,598,76.60%,760,494,65.00%,586,77.10%,Y
2015-2016,37,73791,3730215,San Diego,San Marcos Unified,Twin Oaks High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,142,86,60.60%,90,63.40%,131,80,61.10%,84,64.10%,Y
2015-2016,37,73791,3730793,San Diego,San Marcos Unified,Foothills High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,69,30,43.50%,34,49.30%,60,26,43.30%,30,50.00%,Y
2015-2016,37,73791,3737632,San Diego,San Marcos Unified,San Marcos High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,3048,783,25.70%,927,30.40%,2991,769,25.70%,909,30.40%,Y
2015-2016,37,73791,6039069,San Diego,San Marcos Unified,Alvin M. Dunn Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,752,489,65.00%,604,80.30%,735,476,64.80%,589,80.10%,Y
2015-2016,37,73791,6039077,San Diego,San Marcos Unified,Richland Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,805,220,27.30%,292,36.30%,788,217,27.50%,289,36.70%,Y
2015-2016,37,73791,6039085,San Diego,San Marcos Unified,San Marcos Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,917,660,72.00%,722,78.70%,902,656,72.70%,718,79.60%,Y
2015-2016,37,73791,6039093,San Diego,San Marcos Unified,San Marcos Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1254,792,63.20%,927,73.90%,1254,792,63.20%,927,73.90%,Y
2015-2016,37,73791,6095061,San Diego,San Marcos Unified,Woodland Park Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1412,444,31.40%,590,41.80%,1412,444,31.40%,590,41.80%,Y
2015-2016,37,73791,6105993,San Diego,San Marcos Unified,La Costa Meadows Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,943,77,8.20%,99,10.50%,924,76,8.20%,97,10.50%,Y
2015-2016,37,73791,6107148,San Diego,San Marcos Unified,Knob Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,873,248,28.40%,341,39.10%,846,242,28.60%,334,39.50%,Y
2015-2016,37,73791,6108872,San Diego,San Marcos Unified,Paloma Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,928,237,25.50%,289,31.10%,910,235,25.80%,287,31.50%,Y
2015-2016,37,73791,6114169,San Diego,San Marcos Unified,Discovery Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,1041,172,16.50%,228,21.90%,1027,172,16.70%,227,22.10%,Y
2015-2016,37,73791,6115349,San Diego,San Marcos Unified,Twin Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,659,289,43.90%,337,51.10%,643,281,43.70%,329,51.20%,Y
2015-2016,37,73791,6116206,San Diego,San Marcos Unified,Carrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,1050,112,10.70%,162,15.40%,1033,111,10.70%,161,15.60%,Y
2015-2016,37,75416,122796,San Diego,Warner Unified,All Tribes Elementary Charter,Unified School District,Elementary Schools (Public),Traditional,None,Y,1262,Directly funded,N,K,5,30,30,100.00%,30,100.00%,25,25,100.00%,25,100.00%,Y
2015-2016,37,75416,132472,San Diego,Warner Unified,California Pacific Charter Schools - San Diego,Unified School District,K-12 Schools (Public),Traditional,None,Y,1758,Directly funded,Y,K,12,866,226,26.10%,453,52.30%,809,202,25.00%,415,51.30%,Y
2015-2016,37,75416,3730975,San Diego,Warner Unified,Warner Junior/Senior High,Unified School District,High Schools (Public),Traditional,None,N,,,N,7,12,95,69,72.60%,73,76.80%,94,68,72.30%,72,76.60%,Y
2015-2016,37,75416,6040661,San Diego,Warner Unified,Warner Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,110,82,74.50%,90,81.80%,109,82,75.20%,90,82.60%,Y
2015-2016,37,75416,6119275,San Diego,Warner Unified,All Tribes Charter,Unified School District,K-12 Schools (Public),Traditional,None,Y,1057,Directly funded,N,K,12,44,44,100.00%,44,100.00%,34,34,100.00%,34,100.00%,Y
2015-2016,37,75614,1,San Diego,Valley Center-Pauma Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,4,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2015-2016,37,75614,100511,San Diego,Valley Center-Pauma Unified,Lilac,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,560,208,37.10%,248,44.30%,554,207,37.40%,247,44.60%,Y
2015-2016,37,75614,3731114,San Diego,Valley Center-Pauma Unified,Valley Center High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1183,426,36.00%,509,43.00%,1140,404,35.40%,482,42.30%,Y
2015-2016,37,75614,3731312,San Diego,Valley Center-Pauma Unified,Oak Glen High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,52,35,67.30%,41,78.80%,49,34,69.40%,39,79.60%,Y
2015-2016,37,75614,3731601,San Diego,Valley Center-Pauma Unified,Valley Center Prep,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,68,20,29.40%,35,51.50%,66,18,27.30%,33,50.00%,Y
2015-2016,37,75614,6038962,San Diego,Valley Center-Pauma Unified,Pauma Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,241,169,70.10%,196,81.30%,235,166,70.60%,191,81.30%,Y
2015-2016,37,75614,6093272,San Diego,Valley Center-Pauma Unified,Valley Center Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,867,399,46.00%,458,52.80%,867,399,46.00%,458,52.80%,Y
2015-2016,37,75614,6106124,San Diego,Valley Center-Pauma Unified,Valley Center Primary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,3,535,244,45.60%,278,52.00%,516,237,45.90%,270,52.30%,Y
2015-2016,37,75614,6112494,San Diego,Valley Center-Pauma Unified,Valley Center Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,3,5,577,269,46.60%,319,55.30%,577,269,46.60%,319,55.30%,Y
2015-2016,37,76471,114678,San Diego,SBC - High Tech High,High Tech High Chula Vista,Statewide Benefit Charter,High Schools (Public),Traditional,None,Y,756,Directly funded,N,9,12,639,199,31.10%,324,50.70%,631,198,31.40%,323,51.20%,Y
2015-2016,37,76471,114694,San Diego,SBC - High Tech High,High Tech High North County,Statewide Benefit Charter,High Schools (Public),Traditional,None,Y,756,Directly funded,N,9,12,484,99,20.50%,147,30.40%,472,98,20.80%,146,30.90%,Y
2015-2016,37,76471,119271,San Diego,SBC - High Tech High,High Tech Middle North County,Statewide Benefit Charter,Intermediate/Middle Schools (Public),Traditional,None,Y,756,Directly funded,N,6,8,334,113,33.80%,165,49.40%,334,113,33.80%,165,49.40%,Y
2015-2016,37,76471,123042,San Diego,SBC - High Tech High,High Tech Middle Chula Vista,Statewide Benefit Charter,Intermediate/Middle Schools (Public),Traditional,None,Y,756,Directly funded,N,6,8,310,87,28.10%,156,50.30%,310,87,28.10%,156,50.30%,Y
2015-2016,37,76471,123059,San Diego,SBC - High Tech High,High Tech Elementary Chula Vista,Statewide Benefit Charter,Elementary Schools (Public),Traditional,None,Y,756,Directly funded,N,K,5,400,111,27.80%,188,47.00%,400,111,27.80%,188,47.00%,Y
2015-2016,37,76471,127605,San Diego,SBC - High Tech High,High Tech Elementary North County,Statewide Benefit Charter,Elementary Schools (Public),Traditional,None,Y,756,Directly funded,N,K,5,338,118,34.90%,180,53.30%,337,118,35.00%,179,53.10%,Y
2015-2016,37,76851,110122,San Diego,Bonsall Unified,Bonsall West Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,557,91,16.30%,120,21.50%,550,91,16.50%,120,21.80%,Y
