Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,16,63883,6010300,Kings,Central Union Elementary,Central Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,288,144,50.00%,171,59.40%,288,144,50.00%,171,59.40%,Y
2015-2016,16,63883,6010318,Kings,Central Union Elementary,R. J. Neutra,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,496,130,26.20%,309,62.30%,478,127,26.60%,301,63.00%,Y
2015-2016,16,63883,6010326,Kings,Central Union Elementary,Stratford Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,276,190,68.80%,233,84.40%,268,184,68.70%,225,84.00%,Y
2015-2016,16,63891,110858,Kings,Corcoran Joint Unified,Corcoran Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,2,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,Y
2015-2016,16,63891,122820,Kings,Corcoran Joint Unified,Mission Community Day,Unified School District,District Community Day Schools,Community Day School,None,N,,,N,6,12,16,11,68.80%,11,68.80%,16,11,68.80%,11,68.80%,Y
2015-2016,16,63891,1632140,Kings,Corcoran Joint Unified,Kings Lake Education Center,Unified School District,Continuation High Schools,Continuation School,Provision 4,N,,,N,10,12,25,22,88.00%,22,88.00%,22,19,86.40%,19,86.40%,Y
2015-2016,16,63891,1632207,Kings,Corcoran Joint Unified,Corcoran High,Unified School District,High Schools (Public),Traditional,Provision 4,N,,,N,9,12,860,585,68.00%,657,76.40%,831,562,67.60%,632,76.10%,Y
2015-2016,16,63891,6010334,Kings,Corcoran Joint Unified,Bret Harte Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,1,558,443,79.40%,475,85.10%,526,417,79.30%,446,84.80%,Y
2015-2016,16,63891,6010342,Kings,Corcoran Joint Unified,John C. Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,2,3,596,451,75.70%,471,79.00%,596,451,75.70%,471,79.00%,Y
2015-2016,16,63891,6010359,Kings,Corcoran Joint Unified,John Muir Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 4,N,,,N,6,8,723,527,72.90%,566,78.30%,723,527,72.90%,566,78.30%,Y
